id,title,model_year,cost,url,category,sub_category
480861,Predam Cube Reaction GTC race 29 Carbon,1250 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/480861/predam-cube-reaction-gtc-race-29-carbon.html,horske-bicykle,pevne-a-hardtail
477552,Predám horský bicykel CTM,280 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/477552/predam-horsky-bicykel-ctm.html,horske-bicykle,pevne-a-hardtail
480863,Predam Crosswave Rocky. M-ko,340 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/480863/predam-crosswave-rocky-m-ko.html,horske-bicykle,pevne-a-hardtail
4461791,Canyon Exceed CF 7,2500 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461791/canyon-exceed-cf-7.html,horske-bicykle,pevne-a-hardtail
4461746,Predám author traction,320 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461746/predam-author-traction.html,horske-bicykle,pevne-a-hardtail
4461744,Kellys Madman 30,450 €,2015,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461744/kellys-madman-30.html,horske-bicykle,pevne-a-hardtail
197833,Merida Matts TFS XC 500-V,200 €,2008,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/197833/merida-matts-tfs-xc-500-v.html,horske-bicykle,pevne-a-hardtail
4461692,CTM Quadra 2.0,199 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461692/ctm-quadra-20.html,horske-bicykle,pevne-a-hardtail
4461690,Merida Matts 90,275 €,not defined,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461690/merida-matts-90.html,horske-bicykle,pevne-a-hardtail
4461689,Trek Procaliber 9.5 2021Xl,1650 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461689/trek-procaliber-95-2021xl.html,horske-bicykle,pevne-a-hardtail
4461686,Trek Procaliber 9.5 2021Xl,1650 €,2021,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461686/trek-procaliber-95-2021xl.html,horske-bicykle,pevne-a-hardtail
4461683,CTM Rambler 1,650 €,2019,https://www.mtbiker.sk/bazar/bicykle/horske-bicykle/pevne-a-hardtail/4461683/ctm-rambler-1-.html,horske-bicykle,pevne-a-hardtail
